Close,Volume,EMA5,EMA13,EMA26,MACD,SIGNAL,RSI,ROC,worked?,percentage_returns given
1353.65,2970371,1358.067362,1351.212273,1330.992395,21.62117812,23.76342059,57.14227123,0.411690527,1,4.07047612
1364.1,1985195,1360.078241,1353.053377,1333.44481,20.93590551,23.19791758,59.63023037,0.601054611,1,3.273220438
1360.65,3089465,1360.268827,1354.138609,1335.46001,19.88521152,22.53537637,58.42437382,-1.198126566,1,5.063756293
1367.95,3675764,1362.829218,1356.111665,1337.866676,19.41774231,21.91184955,60.25580785,-1.141824752,1,4.561570233
1362.75,1996179,1362.802812,1357.059998,1339.709885,18.41539188,21.21255802,58.28618411,-0.764609503,1,4.960557696
1379.95,3204762,1368.518541,1360.329999,1342.690634,18.79229234,20.72850488,62.63668755,0.473260767,1,3.652306243
1385.45,2389760,1374.162361,1363.91857,1345.857995,19.31217399,20.4452387,63.93207499,2.54996299,1,3.240824281
1408.75,4989873,1385.691574,1370.32306,1350.516662,21.35809637,20.62781024,68.85791116,3.197567944,0,1.533274179
1408.3,3075660,1393.227716,1375.748337,1354.796909,22.68173247,21.03859469,68.6628719,4.006499021,0,1.565717532
1429.55,3313387,1405.335144,1383.434289,1360.334175,25.15544471,21.86196469,72.60849185,5.607062387,0,0.055961666
1430.35,3195204,1413.673429,1390.136534,1365.520532,26.87068428,22.86370861,72.74760764,4.856682061,0,-0.395008215
1384.25,8050938,1403.86562,1389.2956,1366.9079,24.23082144,23.13713118,55.31388092,1.734465145,0,2.922160014
1383.95,4180741,1397.22708,1388.531943,1368.170278,21.8624865,22.88220224,55.22113776,1.169633393,1,4.129484447
1397.4,3858591,1397.28472,1389.798808,1370.335443,20.83074274,22.47191034,58.57464824,2.542652724,1,3.127236296
1378.3,3526500,1390.95648,1388.156121,1370.92541,18.2613624,21.62980075,52.55543144,-0.11956955,1,4.556337517
1415.4,3506475,1399.10432,1392.048104,1374.219824,18.99975258,21.10379112,60.94965288,2.161752499,0,1.815741133
1424.7,3248445,1407.636213,1396.712661,1377.959096,20.10362235,20.90375736,62.72977445,1.132209406,0,1.151119534
1410.1,2823248,1408.457476,1398.625138,1380.339904,19.57470411,20.63794671,58.24118813,0.127813676,0,2.198425644
1416.2,5753981,1411.038317,1401.135832,1382.996207,19.42384562,20.3951265,59.54370578,-0.933860306,0,1.758226239
1441.1,5437932,1421.058878,1406.844999,1387.300192,21.07062206,20.53022561,64.4220318,0.751564302,0,-0.475331344
1434.25,5488164,1425.455919,1410.759999,1390.777956,21.57427173,20.73903483,62.19999633,3.612064295,0,-48.2028935
737.15,15370124,1196.020612,1314.529999,1342.36107,-33.88610841,9.814006183,13.01222063,-46.73579248,0,0.780031201
729.9,8658978,1040.647075,1231.011428,1296.993583,-77.53015429,-7.654825912,12.89798116,-47.7672821,0,1.781065899
727.15,5598659,936.14805,1159.031224,1254.782947,-111.060046,-28.33586994,12.85189069,-47.24298048,0,2.165990511
732.8,6510605,868.3653667,1098.141049,1216.117544,-135.6135504,-49.79140603,13.53553078,-48.22664971,0,1.378275109
730.85,5629871,822.5269111,1045.670899,1180.1718,-153.4607285,-70.52527053,13.49618019,-48.70148101,0,1.648765136
734.3,6963561,793.1179407,1001.189342,1147.144259,-165.4195065,-89.50411772,13.97270052,-47.92567903,0,1.17118344
742.9,4636617,776.3786272,964.2908648,1117.20024,-172.2177569,-106.0468456,15.22633563,-47.54271995,0,-1.238390093
733.7,7896514,762.1524181,931.3493127,1088.792815,-176.3153291,-120.1005423,14.97493073,-49.0875026,0,-1.022216165
725.95,5427054,750.0849454,902.0065537,1061.915569,-178.1346198,-131.7073578,14.75393456,-49.38469583,0,0.034437633
719.1,7729732,739.7566303,875.877046,1036.521823,-178.0764047,-140.9811672,14.54955234,-2.448619684,0,1.522736754
719.75,4849498,733.0877535,853.5731823,1013.057244,-175.9495819,-147.9748501,14.6703456,-1.390601452,1,3.737408823
705.3,14350769,723.825169,832.3912991,990.260411,-173.4308508,-153.0660503,14.19011112,-3.004882074,1,5.862753438
718.25,8637881,721.9667793,816.0853993,970.1114917,-168.4480177,-156.1424437,16.81812883,-1.985534934,1,3.954054995
726.2,9602273,723.3778529,803.2446279,952.0439738,-161.990265,-157.312008,18.46893509,-0.636245468,0,2.816028642
717.85,6599606,721.5352353,791.0453954,934.696272,-155.7508261,-156.9997716,18.0634525,-2.240228789,1,4.011980219
724.8,14592616,722.6234902,781.5817675,919.1484,-148.5330227,-155.3064219,19.64480014,-2.4363979,1,3.014624724
730.05,7490031,725.0989934,774.2200864,905.1411111,-140.7665611,-152.3984497,20.88690216,-0.497478533,0,2.273816862
746.65,8252398,732.2826623,770.2815026,893.4010288,-131.7533327,-148.2694263,24.84281968,2.851436049,0,-2.430857832
728.5,7792464,731.0217749,764.3127165,881.1861378,-124.6380872,-143.5431585,23.46145904,1.307189542,0,-0.535346603
707.2,6173037,723.0811832,756.153757,868.2982757,-119.3422329,-138.7029734,21.92098655,-1.743660993,0,2.46040724
